Organisation_Key,Organisation,Sector,Status,Confidence,Evidence_Types,Evidence_Count,Evidence,Conflicting_Sectors,Decision_Origin,Updated_At
commune de saint andre,commune de saint andre,Administration / Collectivité,CONFIRMED,HIGH,manual_reference,1,manual_reference:Administration / Collectivité:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
commune de saint benoit,commune de saint benoit,Administration / Collectivité,CONFIRMED,HIGH,manual_reference,1,manual_reference:Administration / Collectivité:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
commune de saint denis,commune de saint denis,Administration / Collectivité,CONFIRMED,HIGH,manual_reference,1,manual_reference:Administration / Collectivité:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
commune de saint joseph,commune de saint joseph,Administration / Collectivité,CONFIRMED,HIGH,manual_reference,1,manual_reference:Administration / Collectivité:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
commune de saint leu,Commune de Saint-Leu,Administration / Collectivité,CONFIRMED,HIGH,manual_reference | safe_name,2,manual_reference:Administration / Collectivité:Entité ou alias territorial validé du référentiel Cyberwatch | safe_name:Administration / Collectivité:Commune de Saint-Leu,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
commune de saint louis,commune de saint louis,Administration / Collectivité,CONFIRMED,HIGH,manual_reference,1,manual_reference:Administration / Collectivité:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
commune de saint paul,commune de saint paul,Administration / Collectivité,CONFIRMED,HIGH,manual_reference,1,manual_reference:Administration / Collectivité:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
commune de saint philippe,commune de saint philippe,Administration / Collectivité,CONFIRMED,HIGH,manual_reference,1,manual_reference:Administration / Collectivité:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
commune de saint pierre,commune de saint pierre,Administration / Collectivité,CONFIRMED,HIGH,manual_reference,1,manual_reference:Administration / Collectivité:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
commune de sainte marie,commune de sainte marie,Administration / Collectivité,CONFIRMED,HIGH,manual_reference,1,manual_reference:Administration / Collectivité:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
commune de sainte rose,commune de sainte rose,Administration / Collectivité,CONFIRMED,HIGH,manual_reference,1,manual_reference:Administration / Collectivité:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
commune de sainte suzanne,commune de sainte suzanne,Administration / Collectivité,CONFIRMED,HIGH,manual_reference,1,manual_reference:Administration / Collectivité:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
commune de salazie,commune de salazie,Administration / Collectivité,CONFIRMED,HIGH,manual_reference,1,manual_reference:Administration / Collectivité:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
commune de tsingoni,commune de tsingoni,Administration / Collectivité,CONFIRMED,HIGH,manual_reference,1,manual_reference:Administration / Collectivité:Entité ou alias territorial validé du référentiel Cyberwatch,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
compagnie fonciere parisienne,COMPAGNIE FONCIÈRE PARISIENNE,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
comptoirdureve,ComptoirDuReve.fr,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
conseil de l europe,Conseil de l’Europe,Inconnu,UNKNOWN,,,0,,,ORGANISATION_SECTOR_P0,2026-08-23T15:26:27.371992+04:00
