Incident_ID,Date,Date_Basis,Organisation,Secteur,Menace,Localisation,Sources,Source_URLs,Items_Count,First_seen,Last_seen
INC-E46109EA35FF,2026-06-18,PUBLICATION,Folliot,Inconnu,Fuite de données,France métropolitaine,BONJOURLAFUITE,https://bonjourlafuite.eu.org/folliot.png,1,2026-08-19T07:38:42.720613+04:00,2026-08-19T07:38:42.720613+04:00
INC-CB86C9861356,2026-06-18,PUBLICATION,Fortigate,Inconnu,Fuite de données,France métropolitaine,BONJOURLAFUITE,https://www.lemondeinformatique.fr/actualites/lire-fortibleed-les-identifiants-de-75-000-pare-feux-fortinet-exposes-100492.html,1,2026-08-19T07:38:42.720613+04:00,2026-08-19T07:38:42.720613+04:00
INC-42440018E634,2026-06-18,PUBLICATION,MaGestionLocative,Inconnu,Fuite de données,France métropolitaine,CYBERATTAQUE_ORG,https://www.cyberattaque.org/magestionlocative-des-documents-de-gestion-locative-revendiques-dans-une-fuite-de-donnees/,1,2026-08-19T07:38:42.720613+04:00,2026-08-19T07:38:42.720613+04:00
INC-03B3CE71D800,2026-06-18,PUBLICATION,Timer Immobilier,Construction / BTP,Fuite de données,France métropolitaine,CYBERATTAQUE_ORG,https://www.cyberattaque.org/timer-immobilier-des-donnees-dacquereurs-et-de-vendeurs-diffusees-publiquement/,1,2026-08-19T07:38:42.720613+04:00,2026-08-19T07:38:42.720613+04:00
INC-9DAD8E9D4A1F,2026-06-17,PUBLICATION,Achat or et argent,Commerce / Distribution,Fuite de données,France métropolitaine,BONJOURLAFUITE,https://bonjourlafuite.eu.org/img/achat-or-argent.png,1,2026-08-19T07:38:42.720613+04:00,2026-08-19T07:38:42.720613+04:00
INC-DEC70B4F6641,2026-06-17,PUBLICATION,TakTikimmo,Inconnu,Fuite de données,France métropolitaine,CYBERATTAQUE_ORG,https://www.cyberattaque.org/taktikimmo-pres-de-94-000-annonces-immobilieres-revendiquees-dans-une-fuite-de-donnees/,1,2026-08-19T07:38:42.720613+04:00,2026-08-19T07:38:42.720613+04:00
INC-95D4D32D77A1,2026-06-16,PUBLICATION,Auchan Optique,Inconnu,Fuite de données,France métropolitaine,BONJOURLAFUITE,https://bonjourlafuite.eu.org/img/auchan-optique.png,1,2026-08-19T07:38:42.720613+04:00,2026-08-19T07:38:42.720613+04:00
INC-4DECF5494EBB,2026-06-16,PUBLICATION,Autosur,Inconnu,Fuite de données,France métropolitaine,CYBERATTAQUE_ORG,https://www.cyberattaque.org/autosur-63-000-controles-techniques-revendiques-dans-une-fuite-de-donnees/,1,2026-08-19T07:38:42.720613+04:00,2026-08-19T07:38:42.720613+04:00
INC-0AD60E25A798,2026-06-16,PUBLICATION,Delamarche Immobilier,Inconnu,Fuite de données,France métropolitaine,BONJOURLAFUITE,https://bonjourlafuite.eu.org/img/delamarche-immobilier.png,1,2026-08-19T07:38:42.720613+04:00,2026-08-19T07:38:42.720613+04:00
INC-A0FDABB31B6C,2026-06-16,PUBLICATION,Réserve Civique,Inconnu,Fuite de données,France métropolitaine,BONJOURLAFUITE,https://bonjourlafuite.eu.org/img/jeveuxaider.png,1,2026-08-19T07:38:42.720613+04:00,2026-08-19T07:38:42.720613+04:00
INC-9E8EBB6C4BE2,2026-06-15,PUBLICATION,Constructions Piraino,Industrie / Manufacture,Ransomware,France métropolitaine,RANSOMWARE_LIVE,https://piraino.fr,1,2026-08-19T07:38:42.720613+04:00,2026-08-19T07:38:42.720613+04:00
INC-C1CBFAC7BD62,2026-06-15,PUBLICATION,JeVeuxAider.gouv.fr,Inconnu,Fuite de données,France métropolitaine,CYBERATTAQUE_ORG,https://www.cyberattaque.org/jeveuxaider-gouv-fr-plus-de-558-000-benevoles-potentiellement-concernes-par-une-fuite-de-donnees/,1,2026-08-19T07:38:42.720613+04:00,2026-08-19T07:38:42.720613+04:00
INC-2976FD437769,2026-06-15,PUBLICATION,Local’emploi,Inconnu,Fuite de données,France métropolitaine,CYBERATTAQUE_ORG,https://www.cyberattaque.org/localemploi-plus-de-12-000-candidats-et-recruteurs-revendiques-dans-une-fuite-de-donnees/,1,2026-08-19T07:38:42.720613+04:00,2026-08-19T07:38:42.720613+04:00
INC-A6B0D6DD98FD,2026-06-15,PUBLICATION,MesVaccins.net,Inconnu,Fuite de données,France métropolitaine,BONJOURLAFUITE,https://bonjourlafuite.eu.org/img/mesvaccins.net.png,1,2026-08-19T07:38:42.720613+04:00,2026-08-19T07:38:42.720613+04:00
INC-1A06319387F8,2026-06-15,PUBLICATION,Superimmo,Inconnu,Fuite de données,France métropolitaine,CYBERATTAQUE_ORG,https://www.cyberattaque.org/superimmo-plus-de-52-000-professionnels-revendiques-dans-une-fuite-de-donnees/,1,2026-08-19T07:38:42.720613+04:00,2026-08-19T07:38:42.720613+04:00
INC-CA2FC5BDE2B5,2026-06-14,PUBLICATION,Académie de Lyon,Éducation / Formation,Fuite de données,France métropolitaine,CYBERATTAQUE_ORG,https://www.cyberattaque.org/academie-de-lyon-plus-de-61-000-dossiers-affelnet-diffuses-sur-un-forum-cybercriminel/,1,2026-08-19T07:38:42.720613+04:00,2026-08-19T07:38:42.720613+04:00
INC-00BB01C8997C,2026-06-14,PUBLICATION,coe.int,Inconnu,Ransomware,France métropolitaine,RANSOMWARE_LIVE,https://coe.int,1,2026-08-19T07:38:42.720613+04:00,2026-08-19T07:38:42.720613+04:00
INC-0F7321C1C53D,2026-06-14,PUBLICATION,Immofacile,Inconnu,Fuite de données,France métropolitaine,CYBERATTAQUE_ORG,https://www.cyberattaque.org/immofacile-plus-de-171-000-professionnels-de-limmobilier-concernes-par-une-fuite-de-donnees/,1,2026-08-19T07:38:42.720613+04:00,2026-08-19T07:38:42.720613+04:00
INC-67CD293B748F,2026-06-14,PUBLICATION,Junior Association,Inconnu,Fuite de données,France métropolitaine,CYBERATTAQUE_ORG,https://www.cyberattaque.org/junior-association-plus-de-63-000-jeunes-et-responsables-associatifs-concernes-par-une-fuite-de-donnees/,1,2026-08-19T07:38:42.720613+04:00,2026-08-19T07:38:42.720613+04:00
INC-2686144A82CB,2026-06-14,PUBLICATION,RATP,Inconnu,Phishing / fraude,France métropolitaine,CYBERATTAQUE_ORG,https://www.cyberattaque.org/ratp-les-donnees-de-plus-de-62-000-employes-diffusees-sur-le-darkweb/,1,2026-08-19T07:38:42.720613+04:00,2026-08-19T07:38:42.720613+04:00
