Organisation_Key,Organisation,Secteur,Localisation,Périmètre,Motif,URL_de_validation
aeroport roland garros,Aéroport de La Réunion Roland-Garros,Transport / Logistique,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
aeroport de pierrefonds,Aéroport de Pierrefonds,Transport / Logistique,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
air austral,Air Austral,Transport / Logistique,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
edf reunion,EDF Réunion,Énergie / Utilities,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
edf a la reunion,EDF Réunion,Énergie / Utilities,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
runeo,Runéo,Énergie / Utilities,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
cise reunion,CISE Réunion,Énergie / Utilities,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
orange reunion,Orange Réunion,Numérique / Technologie,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
sfr reunion,SFR Réunion,Numérique / Technologie,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
zeop,Zeop,Numérique / Technologie,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
cci reunion,CCI Réunion,Commerce / Distribution,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
chambre de commerce et d industrie de la reunion,CCI Réunion,Commerce / Distribution,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
chambre de metiers et de l artisanat de la reunion,Chambre de Métiers et de l'Artisanat de La Réunion,Commerce / Distribution,La Réunion,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
mairie de acoua,Mairie de Acoua,Administration / Collectivité,Mayotte,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
commune de acoua,Mairie de Acoua,Administration / Collectivité,Mayotte,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
ville de acoua,Mairie de Acoua,Administration / Collectivité,Mayotte,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
mairie de bandraboua,Mairie de Bandraboua,Administration / Collectivité,Mayotte,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
commune de bandraboua,Mairie de Bandraboua,Administration / Collectivité,Mayotte,Océan Indien,Entité ou alias territorial validé du référentiel Cyberwatch,https://github.com/Ya7o/Cyberwatch/blob/main/cyberwatch/watchlists.py
