Organisation_Key,Query_Name,Matched_Name,Company_ID,Activity_Code,Activity_Label,Headquarters_Department,Evidence_Source,Evidence_URL,Match_Status,Fetched_At,Validated_Sector,Validated_Via,Cache_Version
immobiliere tariot,Immobilière Tariot,IMMOBILIERE TARIOT,443358346,68.32A,,13,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=443358346,MATCHED,2026-08-16T11:59:40+04:00,,,4
innovorder,Innovorder,INNOVORDER,804818482,62.02A,Information et communication,75,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=804818482,MATCHED,2026-08-16T20:20:24+04:00,Numérique / Technologie,deterministic,4
inserm,INSERM,,,,,,recherche-entreprises.api.gouv.fr,,NOT_FOUND,2026-08-17T10:23:34+04:00,,,4
institut national de la sante et de la recherche medicale,Institut national de la santé et de la recherche médicale,INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE,180036048,72.19Z,"Activités spécialisées, scientifiques et techniques",75,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=180036048,MATCHED,2026-08-16T11:59:40+04:00,Services aux entreprises,deterministic,4
intermarche drive,Intermarché Drive,,,,,,recherche-entreprises.api.gouv.fr,,NOT_FOUND,2026-08-17T10:23:34+04:00,,,4
irp auto,IRP Auto,IRP AUTO,488527847,94.99Z,Autres activités de services,75,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=488527847,MATCHED,2026-08-16T11:59:40+04:00,,llm_declined,4
jimmy fairly,Jimmy Fairly,JIMMY FAIRLY,530422427,47.78A,Commerce ; réparation d'automobiles et de motocycles,75,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=530422427,MATCHED,2026-08-16T11:59:40+04:00,Commerce / Distribution,deterministic,4
kaffir,Kaffir,,,,,,recherche-entreprises.api.gouv.fr,,NOT_FOUND,2026-08-17T10:23:34+04:00,,,4
la france du nord au sud,la france du nord au sud,LA FRANCE DU NORD AU SUD,483315362,79.90Z,Activités de services administratifs et de soutien,75,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=483315362,MATCHED,2026-08-16T11:59:40+04:00,Services aux entreprises,deterministic,4
la france insoumise,La France Insoumise,LA FRANCE INSOUMISE,828130799,94.92Z,Autres activités de services,75,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=828130799,MATCHED,2026-08-16T11:59:40+04:00,,llm_declined,4
la mine bleue,La Mine Bleue,SARL LA MINE BLEUE,378329205,92.3F,"Arts, spectacles et activités récréatives",49,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=378329205,MATCHED,2026-08-16T20:20:24+04:00,,llm_declined,4
la pizza de nico,La Pizza de Nico,LA PIZZA DE NICO,484896501,56.10C,Hébergement et restauration,67,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=484896501,MATCHED,2026-08-16T11:59:40+04:00,,llm_declined,4
la quiberonnaise,La Quiberonnaise,LA QUIBERONNAISE SA,856500749,10.20Z,Industrie manufacturière,56,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=856500749,MATCHED,2026-08-16T20:20:24+04:00,Industrie / Manufacture,deterministic,4
lasante,LaSante.net,,,,,,recherche-entreprises.api.gouv.fr,,NOT_FOUND,2026-08-17T10:23:34+04:00,,,4
le bon materiel,Le Bon Matériel,LE BON MATERIEL,905068144,77.32Z,Activités de services administratifs et de soutien,972,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=905068144,MATCHED,2026-08-16T11:59:40+04:00,Services aux entreprises,deterministic,4
le lien autonomie,Le Lien Autonomie,,,,,,recherche-entreprises.api.gouv.fr,,NOT_FOUND,2026-08-17T10:23:34+04:00,,,4
le mans fc,Le Mans FC,,,,,,recherche-entreprises.api.gouv.fr,,NOT_FOUND,2026-08-17T10:23:34+04:00,,,4
le petit vapoteur,Le Petit Vapoteur,LE PETIT VAPOTEUR,539694364,47.91B,Commerce ; réparation d'automobiles et de motocycles,50,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=539694364,MATCHED,2026-08-16T20:20:24+04:00,Commerce / Distribution,deterministic,4
leroch distribution,Leroch Distribution,,,,,,recherche-entreprises.api.gouv.fr,,NOT_FOUND,2026-08-17T10:23:34+04:00,,,4
lire demain,Lire Demain,LIRE DEMAIN,522813815,46.49Z,Commerce ; réparation d'automobiles et de motocycles,75,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=522813815,MATCHED,2026-08-16T11:59:40+04:00,Commerce / Distribution,deterministic,4
location etudiant,Location-Etudiant,LOCATION ETUDIANT(E),952220069,68.20A,,75,recherche-entreprises.api.gouv.fr,https://recherche-entreprises.api.gouv.fr/search?q=952220069,MATCHED,2026-08-16T11:59:40+04:00,,,4
loutz,Loutz,,,,,,recherche-entreprises.api.gouv.fr,,NOT_FOUND,2026-08-17T10:23:34+04:00,,,4
