Golden_ID,Organisation,Reference_Date,Match_Status,Match_Strategy,Incident_ID_Snapshot,Incident_ID_Current,Secteur_REF,Secteur_CW,Secteur_Match,Menace_REF,Menace_CW,Menace_Match,Localisation_REF,Localisation_CW,Localisation_Match
GOLD-0069,Century 21 France,2026-06-23,MISSING,,INC-1D0F1D8E33D5,,Construction / BTP,,False,Fuite de données,,False,France métropolitaine,,False
GOLD-0070,RATP,2026-06-14,MATCHED,snapshot_id,INC-2686144A82CB,INC-2686144A82CB,Transport / Logistique,Inconnu,False,Fuite de données,Phishing / fraude,False,France métropolitaine,Inconnu,False
GOLD-0071,SSTRN,2026-06-14,MATCHED,snapshot_id,INC-3AED84644061,INC-3AED84644061,Santé,Inconnu,False,Fuite de données,Fuite de données,True,France métropolitaine,France métropolitaine,True
GOLD-0072,BYmyCAR,2026-06-13,MATCHED,snapshot_id,INC-FDA5CD7B3568,INC-FDA5CD7B3568,Commerce / Distribution,Inconnu,False,Incident tiers,Phishing / fraude,False,France métropolitaine,Inconnu,False
GOLD-0073,France Services,2026-06-12,MATCHED,snapshot_id,INC-335A5420ECBD,INC-335A5420ECBD,Administration / Collectivité,Inconnu,False,Fuite de données,Fuite de données,True,France métropolitaine,Inconnu,False
GOLD-0074,Profil Search,2026-05-03,MATCHED,snapshot_id,INC-930F9D0A0F2B,INC-930F9D0A0F2B,Services aux entreprises,Services aux entreprises,True,Fuite de données,Fuite de données,True,France métropolitaine,Inconnu,False
GOLD-0075,Easy Cash,2026-04-30,MATCHED,snapshot_id,INC-35553C97DCD2,INC-35553C97DCD2,Commerce / Distribution,Commerce / Distribution,True,Fuite de données,Fuite de données,True,France métropolitaine,France métropolitaine,True
GOLD-0076,Umanens,2026-04-30,MATCHED,snapshot_id,INC-AF81E2A4DD6C,INC-AF81E2A4DD6C,Finance / Assurance,Inconnu,False,Fuite de données,Fuite de données,True,France métropolitaine,France métropolitaine,True
GOLD-0077,Yomoni,2026-04-30,MATCHED,snapshot_id,INC-101CC5166D0C,INC-101CC5166D0C,Finance / Assurance,Inconnu,False,Fuite de données,Fuite de données,True,France métropolitaine,Inconnu,False
GOLD-0078,Boulangerie Ange,2026-04-29,MATCHED,snapshot_id,INC-7CF147BD04D4,INC-7CF147BD04D4,Commerce / Distribution,Inconnu,False,Fuite de données,Fuite de données,True,France métropolitaine,Inconnu,False
GOLD-0080,Ville de Saint-Étienne,2026-04-29,MISSING,,INC-8D883B4708E9,,Administration / Collectivité,,False,Incident tiers,,False,France métropolitaine,,False
GOLD-0081,Bordeaux Métropole,2026-04-27,MATCHED,snapshot_id,INC-69D8F5ECA6CA,INC-69D8F5ECA6CA,Administration / Collectivité,Inconnu,False,Fuite de données,Phishing / fraude,False,France métropolitaine,Inconnu,False
GOLD-0082,Bazar du Manga,2026-04-17,MATCHED,snapshot_id,INC-ACFA66122429,INC-ACFA66122429,Commerce / Distribution,Commerce / Distribution,True,Fuite de données,Fuite de données,True,France métropolitaine,France métropolitaine,True
GOLD-0083,Fédération Française de Basketball,2026-04-17,MISSING,,INC-D0FA7243DA4D,,Sport,,False,Fuite de données,,False,France métropolitaine,,False
GOLD-0084,Moulin Roty,2026-04-17,MATCHED,snapshot_id,INC-799E8962A7F9,INC-799E8962A7F9,Industrie / Manufacture,Industrie / Manufacture,True,Fuite de données,Fuite de données,True,France métropolitaine,France métropolitaine,True
GOLD-0085,Assuréa,2026-04-15,MATCHED,snapshot_id,INC-F8D163C19511,INC-F8D163C19511,Finance / Assurance,Inconnu,False,Fuite de données,Fuite de données,True,France métropolitaine,Inconnu,False
GOLD-0086,Basic-Fit France,2026-04-13,MISSING,,INC-078CC98F8D6F,,Sport,,False,Fuite de données,,False,France métropolitaine,,False
GOLD-0087,ImmoJeune,2026-04-13,MATCHED,snapshot_id,INC-E6BDE621A4F3,INC-E6BDE621A4F3,Construction / BTP,Inconnu,False,Intrusion,Fuite de données,False,France métropolitaine,France métropolitaine,True
GOLD-0088,GUEGUEN Avocats,2026-04-20,MATCHED,snapshot_id,INC-6EF67E928EC9,INC-6EF67E928EC9,Services aux entreprises,Inconnu,False,Ransomware,Ransomware,True,France métropolitaine,France métropolitaine,True
GOLD-0089,Université Bourgogne Europe,2026-04-19,MISSING,,INC-4FB6DADA12C8,,Éducation / Formation,,False,Fuite de données,,False,France métropolitaine,,False
GOLD-0090,Cerballiance,2026-03-25,MATCHED,snapshot_id,INC-C285EADB1436,INC-C285EADB1436,Santé,Inconnu,False,Fuite de données,Fuite de données,True,France métropolitaine,France métropolitaine,True
GOLD-0091,Crous,2026-03-24,MATCHED,snapshot_id,INC-C70121191014,INC-C70121191014,Administration / Collectivité,Construction / BTP,False,Fuite de données,Fuite de données,True,France métropolitaine,France métropolitaine,True
GOLD-0092,Métropole Aix-Marseille-Provence,2026-03-24,MISSING,,INC-6724236E07AC,,Administration / Collectivité,,False,Fuite de données,,False,France métropolitaine,,False
GOLD-0093,STOR Solutions,2026-04-24,MATCHED,snapshot_id,INC-73E635BC9E27,INC-73E635BC9E27,Numérique / Technologie,Numérique / Technologie,True,Intrusion,Intrusion,True,La Réunion,La Réunion,True
GOLD-0094,Orange Madagascar,2026-03-06,MATCHED,snapshot_id,INC-09BBD7F9B544,INC-09BBD7F9B544,Numérique / Technologie,Numérique / Technologie,True,Ransomware,Ransomware,True,Madagascar,Madagascar,True
GOLD-0095,Mairie de Fumel,2026-02-13,MATCHED,snapshot_id,INC-2DFFDBE5B299,INC-2DFFDBE5B299,Administration / Collectivité,Administration / Collectivité,True,Ransomware,Ransomware,True,France métropolitaine,France métropolitaine,True
GOLD-0096,DGFiP,2026-02-18,MATCHED,snapshot_id,INC-42F11737455B,INC-42F11737455B,Administration / Collectivité,Administration / Collectivité,True,Compromission de compte / messagerie,Fuite de données,False,France métropolitaine,France métropolitaine,True
GOLD-0097,ARS,2026-02-05,MISSING,,INC-502F3948A14D,,Administration / Collectivité,,False,Fuite de données,,False,France métropolitaine,,False
GOLD-0098,Fédération Française de Randonnée,2026-02-05,MISSING,,INC-2AC2F68DE9C3,,Sport,,False,Fuite de données,,False,France métropolitaine,,False
GOLD-0099,Eiffage,2026-03-01,MATCHED,snapshot_id,INC-BCF8B8305BBC,INC-BCF8B8305BBC,Construction / BTP,Transport / Logistique,False,Ransomware,Ransomware,True,France métropolitaine,France métropolitaine,True
GOLD-0100,Rogers Capital,2026-01-14,MATCHED,snapshot_id,INC-D3948486A973,INC-D3948486A973,Finance / Assurance,Finance / Assurance,True,Ransomware,Ransomware,True,Maurice,Maurice,True
