Severity,Code,Golden_ID,Related_Golden_ID,Field,Current_Value,Suggested_Value,Message
WARN,GENERIC_EVIDENCE,GOLD-0051,,Menace,Fuite de données,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0051,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,HIGH_WITHOUT_SOURCE_URL,GOLD-0053,,,,,au moins un champ HIGH sans URL de source rejouable
WARN,GENERIC_EVIDENCE,GOLD-0053,,Menace,Fuite de données,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0053,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0054,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,HIGH_WITHOUT_SOURCE_URL,GOLD-0055,,,,,au moins un champ HIGH sans URL de source rejouable
WARN,GENERIC_EVIDENCE,GOLD-0055,,Menace,Fuite de données,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0055,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0056,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,HIGH_WITHOUT_SOURCE_URL,GOLD-0057,,,,,au moins un champ HIGH sans URL de source rejouable
WARN,GENERIC_EVIDENCE,GOLD-0057,,Menace,Fuite de données,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0057,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,HIGH_WITHOUT_SOURCE_URL,GOLD-0058,,,,,au moins un champ HIGH sans URL de source rejouable
WARN,GENERIC_EVIDENCE,GOLD-0058,,Menace,Fuite de données,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0058,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,HIGH_WITHOUT_SOURCE_URL,GOLD-0059,,,,,au moins un champ HIGH sans URL de source rejouable
WARN,GENERIC_EVIDENCE,GOLD-0059,,Menace,Fuite de données,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0059,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,HIGH_WITHOUT_SOURCE_URL,GOLD-0060,,,,,au moins un champ HIGH sans URL de source rejouable
WARN,GENERIC_EVIDENCE,GOLD-0060,,Menace,Fuite de données,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0060,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0061,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,HIGH_WITHOUT_SOURCE_URL,GOLD-0062,,,,,au moins un champ HIGH sans URL de source rejouable
WARN,GENERIC_EVIDENCE,GOLD-0062,,Menace,Fuite de données,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0062,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,HIGH_WITHOUT_SOURCE_URL,GOLD-0064,,,,,au moins un champ HIGH sans URL de source rejouable
WARN,GENERIC_EVIDENCE,GOLD-0064,,Menace,Fuite de données,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0064,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,HIGH_WITHOUT_SOURCE_URL,GOLD-0066,,,,,au moins un champ HIGH sans URL de source rejouable
WARN,GENERIC_EVIDENCE,GOLD-0066,,Menace,Fuite de données,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0066,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,HIGH_WITHOUT_SOURCE_URL,GOLD-0067,,,,,au moins un champ HIGH sans URL de source rejouable
WARN,GENERIC_EVIDENCE,GOLD-0067,,Menace,Fuite de données,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0067,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,HIGH_WITHOUT_SOURCE_URL,GOLD-0068,,,,,au moins un champ HIGH sans URL de source rejouable
WARN,GENERIC_EVIDENCE,GOLD-0068,,Menace,Fuite de données,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0068,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,HIGH_WITHOUT_SOURCE_URL,GOLD-0069,,,,,au moins un champ HIGH sans URL de source rejouable
WARN,GENERIC_EVIDENCE,GOLD-0069,,Menace,Fuite de données,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0069,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0070,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0072,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,HIGH_WITHOUT_SOURCE_URL,GOLD-0073,,,,,au moins un champ HIGH sans URL de source rejouable
WARN,GENERIC_EVIDENCE,GOLD-0073,,Menace,Fuite de données,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0073,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,HIGH_WITHOUT_SOURCE_URL,GOLD-0074,,,,,au moins un champ HIGH sans URL de source rejouable
WARN,GENERIC_EVIDENCE,GOLD-0074,,Menace,Fuite de données,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0074,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,HIGH_WITHOUT_SOURCE_URL,GOLD-0075,,,,,au moins un champ HIGH sans URL de source rejouable
WARN,GENERIC_EVIDENCE,GOLD-0075,,Menace,Fuite de données,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0075,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,HIGH_WITHOUT_SOURCE_URL,GOLD-0076,,,,,au moins un champ HIGH sans URL de source rejouable
WARN,GENERIC_EVIDENCE,GOLD-0076,,Menace,Fuite de données,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,HIGH_WITHOUT_SOURCE_URL,GOLD-0077,,,,,au moins un champ HIGH sans URL de source rejouable
WARN,GENERIC_EVIDENCE,GOLD-0077,,Menace,Fuite de données,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0077,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,HIGH_WITHOUT_SOURCE_URL,GOLD-0078,,,,,au moins un champ HIGH sans URL de source rejouable
WARN,GENERIC_EVIDENCE,GOLD-0078,,Menace,Fuite de données,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0078,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0080,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0081,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,HIGH_WITHOUT_SOURCE_URL,GOLD-0082,,,,,au moins un champ HIGH sans URL de source rejouable
WARN,GENERIC_EVIDENCE,GOLD-0082,,Menace,Fuite de données,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,GENERIC_EVIDENCE,GOLD-0082,,Localisation,France métropolitaine,,preuve générique : la décision n'est pas suffisamment ré-exécutable
WARN,HIGH_WITHOUT_SOURCE_URL,GOLD-0083,,,,,au moins un champ HIGH sans URL de source rejouable
WARN,GENERIC_EVIDENCE,GOLD-0083,,Menace,Fuite de données,,preuve générique : la décision n'est pas suffisamment ré-exécutable
